,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
628,fielders_choice,18,-8,101.1,0.257
1164,field_out,325,28,86.9,0.08
1356,field_out,86,78,78.9,0.014
1497,single,218,30,69.7,0.84
1578,field_out,318,22,100.3,0.374
1209,single,15,-4,89.5,0.189
1362,field_out,71,2,86.9,0.34
1669,field_out,122,6,99.3,0.62
1992,field_out,70,3,92.4,0.386
2378,field_out,1,-49,64.9,0.22
2525,force_out,11,-11,103.4,0.26
2592,force_out,51,5,60.5,0.171
3112,single,279,15,99.4,0.717
4007,field_out,175,54,65.7,0.074
3475,field_out,8,-15,93.7,0.169
3731,field_out,2,-30,71.1,0.049
4198,field_out,364,25,97.7,0.434
2857,force_out,4,-26,91.0,0.077
3388,single,1,-71,64.1,0.24
3960,field_out,120,46,47.9,0.111
4285,field_out,6,-16,85.4,0.106
2350,field_out,321,44,94.1,0.011
2692,field_out,81,5,87.3,0.409
2855,home_run,395,41,108.3,0.42
3377,field_out,115,9,81.2,0.414
3274,single,239,24,77.7,0.669
3487,single,12,-15,99.5,0.171
4006,field_out,2,-45,74.0,0.129
1485,field_out,283,37,76.6,0.089
1626,single,192,12,87.8,0.754
1938,single,14,-10,102.9,0.271
2004,double,277,16,104.2,0.54
2826,field_out,312,52,102.6,0.023
2575,single,13,-15,97.2,0.197
2812,grounded_into_double_play,34,48,23.0,0.109
4473,single,75,3,101.8,0.56
4031,single,212,12,95.0,0.894
2929,field_out,393,26,98.1,0.406
2804,field_out,182,10,106.6,0.837
1560,single,236,14,96.0,0.923
1945,single,166,16,69.0,0.534
2368,field_out,67,81,86.5,0.014
2562,fielders_choice,4,-24,62.8,0.043
3605,field_out,389,33,101.2,0.449
4115,field_out,121,5,104.4,0.571
110,double,343,19,101.9,0.451
168,field_out,303,35,84.9,0.017
734,field_out,226,56,93.8,0.009
819,single,258,15,95.3,0.817
1057,single,13,-10,81.6,0.117
1552,field_out,2,-42,70.3,0.131
481,field_out,85,4,95.4,0.411
566,field_out,1,-54,,
1993,field_out,369,33,96.4,0.134
617,field_out,6,-19,35.4,0.246
652,field_out,7,-20,78.0,0.034
685,field_out,192,53,72.0,0.117
740,triple,315,31,91.4,0.057
2933,field_out,20,85,60.8,0.006
3040,field_out,1,-48,68.8,0.189
3327,double,358,31,97.4,0.249
867,grounded_into_double_play,74,3,89.7,0.357
946,field_out,349,23,97.6,0.337
1237,single,53,1,102.7,0.474
2736,grounded_into_double_play,42,1,77.1,0.143
4033,field_out,387,35,101.1,0.409
1584,field_out,1,-41,85.1,0.069
2031,fielders_choice,10,-12,98.4,0.214
2674,field_out,113,10,80.0,0.389
2821,fielders_choice,3,-42,82.8,0.091
3116,single,245,34,71.7,0.534
3627,double_play,338,42,106.5,0.32
3299,single,206,12,106.5,0.903
3619,field_out,14,-9,94.0,0.214
4286,single,153,12,75.9,0.386
2334,field_out,59,80,78.1,0.014
2405,single,202,36,63.5,0.637
2416,triple,323,27,90.0,0.1
2620,sac_fly,328,42,95.1,0.014
2778,field_out,313,43,95.0,0.017
3419,field_out,0,-81,57.4,0.177
3822,home_run,390,20,103.3,0.509
4204,single,22,-5,97.4,0.274
2790,grounded_into_double_play,17,-6,104.6,0.363
3009,field_out,8,-19,91.4,0.094
3254,field_out,331,35,96.8,0.18
4413,field_out,149,60,61.7,0.009
3142,field_out,5,-23,91.1,0.091
3485,single,27,-4,107.3,0.411
3841,field_out,316,32,94.5,0.134
4077,field_out,112,7,94.6,0.517
1400,field_out,302,42,91.3,0.003
1674,field_out,304,41,87.9,0.006
1766,field_error,5,-14,96.2,0.186
2563,field_out,161,9,99.2,0.691
2598,field_out,273,39,81.0,0.02
2885,field_out,31,-2,77.1,0.123
2173,field_out,2,-39,75.1,0.106
3163,field_out,3,-31,65.5,0.043
3964,field_out,106,57,50.4,0.026
4152,single,6,-22,102.2,0.177
3383,fielders_choice,73,10,52.6,0.166
4278,single,51,1,98.0,0.406
4513,field_out,107,4,95.8,0.494
327,field_out,19,-5,94.0,0.257
499,field_out,356,45,104.1,0.109
559,field_out,15,-8,90.2,0.166
77,single,158,21,64.1,0.62
106,field_out,259,39,80.7,0.02
675,field_out,34,0,77.0,0.126
905,field_out,24,-5,91.1,0.166
1030,single,289,20,88.9,0.469
1091,field_out,333,27,90.9,0.114
1665,sac_fly,359,37,100.8,0.323
1785,single,200,60,80.5,0.034
1833,single,196,10,101.1,0.783
2235,field_out,260,40,80.7,0.023
1193,field_out,304,30,90.9,0.08
1376,field_out,26,-5,87.4,0.12
2780,field_out,3,-33,59.8,0.063
3095,single,60,1,106.7,0.471
3463,field_out,6,-19,93.4,0.109
3892,field_out,203,57,88.4,0.023
4213,home_run,423,32,104.8,0.766
4394,single,263,13,102.8,0.88
1574,double_play,91,10,59.8,0.209
1924,field_out,5,-27,65.8,0.046
3154,field_out,295,45,85.4,0.006
3781,single,228,11,101.6,0.903
2226,single,11,-8,80.2,0.106
3160,single,106,5,100.3,0.623
3460,field_out,184,57,86.9,0.026
3564,field_out,112,7,91.6,0.497
4203,field_out,348,25,100.0,0.517
1336,field_out,159,8,100.7,0.686
3660,field_out,85,4,100.3,0.557
3827,field_out,297,29,89.7,0.083
4157,single,154,9,103.3,0.743
4314,field_out,274,27,80.6,0.183
4388,home_run,376,39,95.9,0.066
1864,field_out,216,55,83.3,0.026
2052,field_out,315,20,91.8,0.303
2245,field_out,12,-7,108.9,0.397
1414,single,10,-10,88.7,0.166
1603,double,113,8,95.0,0.58
1700,field_out,266,52,90.9,0.017
1932,single,6,-18,86.5,0.106
2047,single,183,12,82.6,0.623
2171,single,146,11,97.6,0.86
3121,single,204,15,104.2,0.62
4072,field_out,1,-75,71.9,0.22
3409,single,273,16,92.2,0.837
4010,double,6,-13,95.6,0.174
4114,force_out,1,-59,69.0,0.257
4313,single,227,29,68.9,0.917
1203,field_out,258,46,79.9,0.026
1292,home_run,403,27,106.7,0.957
1418,single,367,18,106.8,0.62
1480,field_out,257,29,76.0,0.397
1575,single,139,12,71.3,0.323
2480,field_out,43,0,88.5,0.249
2671,field_out,184,8,91.2,0.543
3135,field_out,11,-11,102.3,0.257
3757,double,396,24,102.9,0.734
1753,field_out,297,19,100.0,0.369
1981,field_out,293,50,101.1,0.014
1997,field_out,3,-31,82.4,0.051
25,field_out,292,24,84.2,0.289
177,single,256,24,76.0,0.794
438,single,64,1,109.1,0.514
512,triple,247,10,104.3,0.826
2361,field_out,8,-19,89.0,0.106
2846,field_out,10,-11,51.5,0.114
3042,field_out,351,33,95.5,0.134
565,field_out,111,8,78.7,0.346
844,field_out,285,21,88.0,0.38
899,field_out,9,-14,84.7,0.111
919,triple,139,6,97.9,0.6
842,double,383,12,116.8,0.8
975,field_out,2,-41,57.5,0.149
1401,home_run,397,25,105.9,0.943
1024,grounded_into_double_play,3,-35,67.1,0.066
1215,single,191,9,88.7,0.529
1405,single,281,22,83.0,0.566
2321,home_run,399,29,101.1,0.611
1680,grounded_into_double_play,24,-5,84.4,0.131
1772,force_out,4,-33,87.3,0.06
1927,single,124,9,90.1,0.554
1500,double,311,23,102.8,0.706
1596,field_out,220,55,95.9,0.011
1748,field_error,24,81,74.4,0.006
1854,double,302,26,88.2,0.109
3955,field_out,231,47,82.6,0.009
4366,single,245,31,73.7,0.469
2463,home_run,372,37,97.6,0.171
2800,field_out,14,-6,97.4,0.246
3059,field_out,302,41,86.9,0.011
3206,field_out,249,53,91.6,0.009
4047,single,198,34,62.9,0.671
2017,field_out,1,-68,44.2,0.197
3039,home_run,420,25,106.3,0.943
3180,field_out,271,48,87.3,0.006
3895,single,94,7,87.7,0.469
2056,field_out,279,46,87.3,0.006
2374,field_out,52,1,95.2,0.414
2771,field_out,6,-15,79.6,0.071
3351,field_out,44,0,83.0,0.197
4023,field_out,78,4,90.2,0.411
3782,field_out,362,26,93.4,0.149
4250,field_out,16,-5,88.3,0.157
297,field_out,65,2,92.4,0.391
441,field_out,4,-21,99.3,0.134
134,field_out,298,20,100.4,0.383
222,field_out,183,44,61.1,0.257
611,home_run,363,40,103.5,0.317
710,single,127,8,93.1,0.549
764,field_out,18,-8,97.1,0.229
295,field_out,3,-20,88.6,0.103
360,field_out,7,-15,59.0,0.071
377,home_run,370,28,98.8,0.446
417,double,383,23,100.5,0.543
498,field_out,5,-5,62.4,0.117
1003,grounded_into_double_play,36,-1,102.9,0.409
1063,single,187,9,96.4,0.643
544,field_out,1,-62,56.4,0.251
738,field_out,10,-14,91.0,0.14
888,field_out,192,47,66.2,0.24
1007,double,393,20,107.3,0.757
1486,field_out,1,-74,67.7,0.223
1555,sac_fly,327,32,86.1,0.026
1686,double,257,19,91.5,0.38
1046,field_out,212,63,95.5,0.017
1059,single,156,12,76.8,0.4
1212,home_run,421,35,104.9,0.649
1293,home_run,420,27,113.7,0.994
1402,field_out,11,-10,69.2,0.066
2343,field_out,59,78,56.2,0.006
2503,field_out,81,3,99.3,0.463
3389,field_out,202,58,93.8,0.006
2703,field_out,373,29,98.1,0.354
2981,field_out,287,42,90.9,0.003
4371,single,169,12,80.0,0.506
1794,home_run,411,29,104.5,0.86
1814,field_error,103,6,94.3,0.471
2524,single,122,10,83.2,0.469
2587,field_out,19,-7,92.6,0.214
4014,triple,302,17,94.6,0.56
4552,field_out,80,69,55.8,0.0
1688,single,159,15,76.0,0.634
2778,field_out,292,17,98.0,0.509
3375,field_out,157,52,61.2,0.074
4286,home_run,401,34,106.7,0.769
2033,field_out,382,29,95.6,0.214
2130,field_out,312,35,90.8,0.037
2421,field_out,152,68,83.4,0.006
2500,single,275,20,88.9,0.469
3208,home_run,411,33,106.7,0.823
3530,field_out,374,33,97.8,0.251
3890,single,145,7,88.9,0.469
46,field_out,45,4,59.6,0.154
96,single,219,13,92.4,0.911
111,single,38,-1,100.6,0.4
2056,home_run,425,30,107.0,0.92
2518,home_run,402,23,103.6,0.789
154,field_out,286,16,101.9,0.529
188,field_out,260,32,82.3,0.04
309,force_out,4,-32,73.3,0.054
422,single,17,-7,97.9,0.26
3419,force_out,6,-21,100.1,0.151
410,double,382,18,107.2,0.62
483,field_out,10,-13,86.9,0.111
535,home_run,388,21,113.5,0.923
544,double,134,9,97.2,0.634
644,field_out,115,9,78.9,0.371
828,fielders_choice,16,-7,84.9,0.12
975,single,206,10,110.9,0.869
899,triple,343,25,95.3,0.197
1034,field_out,7,-10,69.6,0.071
1126,field_out,4,-27,68.0,0.04
1027,field_out,3,-27,92.3,0.077
1146,field_out,126,8,96.5,0.6
1180,field_out,48,1,82.6,0.209
1188,single,215,10,105.8,0.82
1232,field_out,61,5,71.8,0.171
1415,single,41,-2,108.1,0.463
1433,home_run,425,24,111.0,0.986
1292,field_out,29,-1,92.2,0.3
1663,field_out,129,9,89.9,0.554
1795,field_out,368,19,104.1,0.526
1800,field_out,5,-25,83.0,0.046
1741,field_out,231,52,88.7,0.017
1840,single,14,-11,80.2,0.103
2295,double,345,25,96.9,0.351
2551,field_out,277,22,86.7,0.343
2696,double,5,-19,89.6,0.094
2699,double,355,24,99.7,0.497
3145,field_out,278,52,99.5,0.011
3369,grounded_into_double_play,6,-17,94.3,0.166
4389,field_error,4,-35,89.9,0.089
3155,field_out,144,67,86.6,0.003
3550,field_out,346,39,97.5,0.08
4036,field_out,353,31,96.4,0.209
3069,home_run,413,34,109.2,0.829
3801,home_run,425,26,108.0,0.966
3342,double,354,20,108.4,0.817
3832,field_out,124,14,64.9,0.354
4414,field_out,137,67,82.3,0.003
4629,field_out,6,-20,45.6,0.186
3265,home_run,411,24,106.0,0.891
3853,field_out,110,66,67.5,0.0
2224,home_run,408,37,107.8,0.657
2679,single,37,-1,105.7,0.46
3315,fielders_choice,47,0,87.2,0.271
173,single,377,22,104.3,0.743
241,single,208,20,73.9,0.937
119,double_play,168,15,73.6,0.586
180,double,223,16,92.6,0.746
338,field_out,3,-25,84.8,0.066
391,double,325,20,101.9,0.483
304,field_out,8,-21,87.7,0.123
420,field_out,13,-11,92.4,0.16
453,field_out,300,21,86.0,0.446
506,field_out,181,65,90.2,0.009
638,field_out,258,45,80.0,0.034
865,force_out,6,-16,107.1,0.22
971,single,19,-4,100.6,0.291
524,field_out,6,-21,76.5,0.031
555,grounded_into_double_play,117,6,102.2,0.646
670,single,218,13,88.1,0.883
1151,field_out,10,-10,82.7,0.123
1191,single,7,-15,36.4,0.234
1276,sac_fly,371,33,100.5,0.406
1457,single,259,12,109.8,0.877
1592,fielders_choice,4,-14,92.6,0.163
1739,double,5,-26,90.9,0.077
1765,single,220,17,85.7,0.929
1894,field_out,8,-15,86.2,0.114
790,field_out,0,-84,55.1,0.157
990,single,245,19,86.3,0.703
1111,double,215,17,81.4,0.937
1268,field_out,34,-3,108.1,0.443
1365,field_out,3,-49,61.3,0.203
2229,field_out,1,-74,30.7,0.194
2286,field_out,15,-8,81.5,0.111
1669,field_out,5,-19,72.8,0.057
1790,field_out,2,-50,35.9,0.254
2419,single,7,-16,78.0,0.057
2512,field_out,4,-27,69.0,0.037
2763,field_out,14,-8,89.8,0.166
2007,field_out,317,47,102.7,0.046
2114,single,244,23,78.5,0.717
2248,field_out,215,54,80.8,0.049
3638,field_out,264,31,81.5,0.057
4352,field_out,5,-21,80.3,0.04
2438,field_out,382,37,104.9,0.577
2511,field_out,101,73,97.9,0.02
2945,single,347,19,110.2,0.843
3759,field_out,136,8,102.8,0.683
3916,double,332,25,90.9,0.151
2290,field_out,321,21,99.4,0.323
2474,single,132,8,106.5,0.689
3543,single,238,10,105.2,0.82
2660,force_out,2,-24,89.0,0.094
3478,field_out,314,31,89.6,0.054
4223,field_out,4,-29,95.9,0.1
3236,field_out,22,-5,95.2,0.291
4173,double_play,156,9,105.3,0.771
3571,single,127,11,82.2,0.52
4075,double,186,12,94.0,0.874
2646,field_out,205,7,105.4,0.606
2892,field_out,13,-6,36.4,0.237
4470,field_out,3,-44,83.7,0.091
185,double_play,123,6,94.0,0.471
296,double,130,11,70.4,0.291
432,single,288,16,101.6,0.529
444,field_out,377,30,99.9,0.503
4028,field_out,238,48,85.6,0.003
211,single,211,14,93.7,0.92
243,field_out,311,22,95.3,0.206
294,field_error,23,-4,97.8,0.317
490,field_out,102,7,85.5,0.434
609,field_out,384,25,99.6,0.517
405,field_out,18,-9,78.4,0.106
456,single,281,14,105.0,0.714
551,field_out,356,24,95.0,0.171
576,field_out,315,41,91.0,0.009
890,triple,237,16,93.7,0.737
1064,field_out,14,-7,78.4,0.091
1144,field_out,251,37,80.8,0.02
749,field_out,194,33,63.2,0.683
771,single,3,-39,38.6,0.234
909,field_out,10,-16,54.2,0.089
1409,field_out,6,-19,63.4,0.04
1482,field_out,265,38,82.2,0.02
1571,field_out,338,32,93.9,0.106
950,field_out,163,11,103.8,0.897
1172,single,173,7,108.3,0.663
1242,single,17,-5,105.1,0.369
1280,field_out,4,-38,89.4,0.077
1399,field_out,10,-11,63.2,0.08
1627,field_out,8,84,66.7,0.006
1668,single,169,9,101.4,0.726
1931,field_out,3,-28,74.6,0.049
1530,field_out,6,-13,95.4,0.183
1535,single,201,37,67.3,0.677
1812,field_out,345,27,98.9,0.483
2009,single,123,7,88.1,0.469
2066,field_out,323,25,90.2,0.16
2541,single,147,8,96.5,0.617
3884,field_out,347,25,99.4,0.477
4425,single,100,3,101.7,0.56
2269,field_out,52,-2,110.3,0.474
2774,field_out,267,11,106.8,0.891
3594,field_out,15,-11,103.1,0.26
3527,double,303,20,97.0,0.277
4098,field_out,379,28,97.5,0.314
4624,field_out,238,53,91.3,0.017
1921,field_out,1,-51,85.1,0.157
2004,single,52,0,95.7,0.377
2301,single,195,25,66.9,0.903
2488,field_out,9,-11,98.9,0.246
2860,field_out,4,-21,85.7,0.1
3124,field_out,111,73,73.8,0.0
3580,field_out,173,18,68.4,0.634
3789,field_out,7,-14,85.3,0.111
4080,field_out,92,5,87.6,0.4
2573,double_play,64,3,82.5,0.237
3137,fielders_choice,116,7,85.5,0.434
4576,double,390,34,100.8,0.429
4107,field_out,216,48,72.5,0.16
276,field_out,2,-35,84.8,0.069
287,field_out,21,81,77.1,0.011
610,double,370,29,94.1,0.146
27,field_out,87,6,85.1,0.403
79,force_out,4,-30,83.6,0.037
109,single,37,-1,106.6,0.477
141,field_out,308,40,92.6,0.023
690,field_out,10,-11,95.5,0.2
750,double,395,31,99.5,0.4
861,field_out,5,-30,61.7,0.046
1048,field_error,5,-25,86.7,0.074
365,field_out,5,-18,102.5,0.211
1143,field_out,11,-16,90.3,0.114
1246,single,244,17,87.2,0.914
1386,field_out,56,3,79.6,0.223
1442,field_out,5,-24,92.8,0.086
708,field_out,1,-59,51.5,0.214
1569,field_out,15,-7,96.2,0.237
2098,single,379,28,96.9,0.314
1074,field_out,7,-20,80.9,0.043
1169,force_out,5,-25,98.8,0.111
1329,fielders_choice_out,39,0,89.7,0.271
1440,double,170,13,86.1,0.82
2174,field_out,320,25,86.8,0.12
2978,double,312,24,96.8,0.3
3205,field_out,315,14,97.2,0.9
1782,field_out,1,-69,69.7,0.24
1816,single,128,9,96.0,0.643
2476,field_error,19,-7,87.5,0.129
2605,field_out,4,-36,94.4,0.106
2872,single,103,4,100.4,0.557
4176,single,190,16,80.8,0.894
4585,field_out,158,14,75.1,0.506
3095,grounded_into_double_play,2,-40,88.2,0.066
3275,field_out,34,1,79.5,0.197
3549,field_out,24,-7,89.1,0.134
3978,single,20,-6,110.6,0.42
4222,field_out,10,-15,92.6,0.18
3994,field_out,385,22,100.2,0.374
4210,field_out,178,9,97.4,0.634
2303,grounded_into_double_play,39,-1,81.7,0.2
2491,sac_fly,360,34,92.2,0.051
2793,single,68,3,100.9,0.54
3293,single,250,17,94.9,0.56
4132,single,218,14,97.2,0.9
2222,field_out,295,18,94.3,0.474
3219,field_out,321,26,91.2,0.137
3905,double,286,17,108.0,0.669
4198,field_out,5,-23,82.9,0.06
3178,single,192,11,95.2,0.791
3803,field_out,4,-25,103.2,0.14
2322,single,223,11,98.5,0.877
3810,field_out,360,20,99.1,0.323
242,field_out,8,-19,91.6,0.097
353,field_out,4,-27,90.3,0.069
394,field_out,37,87,69.3,0.003
4539,field_out,24,-2,59.2,0.111
260,home_run,425,29,102.7,0.717
380,single,167,8,110.0,0.783
480,single,9,-19,97.1,0.12
550,field_out,347,23,92.3,0.183
428,field_out,267,50,90.1,0.017
744,field_out,338,27,94.9,0.189
788,single,242,23,74.5,0.906
818,single,142,7,103.8,0.614
988,field_out,62,6,69.2,0.171
770,field_out,135,70,87.4,0.006
809,field_out,86,75,85.9,0.009
834,single,135,7,98.6,0.629
1003,triple,251,13,97.5,0.891
1161,single,13,-5,23.4,0.26
1254,field_out,7,-17,76.1,0.054
1045,field_out,314,24,93.1,0.174
1227,double,339,19,95.3,0.349
1304,field_out,12,-19,99.8,0.143
1291,field_out,20,-6,72.1,0.086
1584,field_out,66,80,78.6,0.014
1966,field_out,9,-20,92.1,0.106
1615,field_out,316,37,89.2,0.017
1887,field_out,384,28,98.3,0.38
2712,field_out,249,38,73.7,0.291
2610,single,214,38,64.3,0.554
3152,field_out,327,14,106.2,0.7
3093,field_out,26,-4,100.2,0.326
3668,double,251,14,106.3,0.7
4287,field_out,356,33,96.5,0.197
4584,single,246,18,86.9,0.834
3422,field_out,77,4,88.0,0.36
3983,single,103,4,108.1,0.603
2937,home_run,404,28,102.2,0.694
3209,field_out,337,41,97.4,0.046
3554,field_out,311,37,89.0,0.017
3989,field_out,333,34,93.4,0.057
2686,single,34,-2,100.7,0.34
2941,field_out,5,-24,99.9,0.123
3391,field_out,6,-20,97.8,0.12
2921,force_out,41,2,77.1,0.163
3812,field_error,9,-11,70.1,0.066
4026,grounded_into_double_play,6,-21,103.4,0.189
4671,single,228,13,92.4,0.911
3547,field_out,146,6,112.9,0.72
3873,single,29,-4,98.1,0.317
4063,single,9,-10,103.7,0.28
4592,grounded_into_double_play,12,-8,84.6,0.123
0,single,20,-5,110.6,0.434
15,home_run,363,26,103.5,0.766
56,double,166,10,103.8,0.826
142,double,395,21,107.4,0.823
3023,field_out,302,47,98.3,0.006
3762,double_play,80,4,98.2,0.554
4343,single,192,17,86.5,0.929
170,field_out,2,-59,78.8,0.251
406,field_out,217,58,95.8,0.014
458,field_out,30,-3,106.5,0.423
17,field_out,154,55,67.6,0.08
74,field_out,3,-29,72.6,0.046
107,home_run,376,27,102.0,0.7
204,home_run,416,31,106.7,0.894
240,home_run,406,33,104.4,0.671
570,field_out,190,61,87.7,0.009
637,single,1,-70,69.1,0.229
783,field_out,354,32,95.7,0.189
875,field_out,143,70,85.7,0.006
807,field_out,331,28,92.5,0.123
850,single,170,24,62.6,0.686
1001,field_out,86,9,73.5,0.271
1098,field_out,304,29,91.2,0.097
1201,field_out,288,46,90.6,0.003
1041,field_out,2,-48,73.5,0.149
1245,sac_fly,308,20,95.8,0.269
1278,double,301,17,112.7,0.774
1544,single,270,14,97.1,0.9
1831,field_out,70,66,39.5,0.023
1867,single,1,-70,55.9,0.217
1479,field_out,341,22,96.3,0.209
1606,field_out,306,18,105.7,0.574
1824,field_out,160,22,62.9,0.6
1902,field_error,45,1,75.3,0.103
2106,field_out,5,-20,96.4,0.117
2325,field_out,152,8,103.9,0.683
2452,field_out,275,33,84.7,0.023
2013,field_out,42,80,91.4,0.014
2064,single,225,20,77.7,0.963
2129,field_out,15,-10,93.9,0.177
2577,field_out,200,61,97.5,0.014
4416,field_out,162,64,82.0,0.009
2733,field_out,2,-42,61.1,0.169
3078,field_out,7,-11,88.7,0.151
3921,field_out,6,-27,82.8,0.046
4053,home_run,422,26,108.2,0.966
3741,field_out,304,41,95.5,0.04
3707,field_out,208,49,71.5,0.171
4228,field_out,15,-6,102.3,0.294
3104,field_out,234,52,94.3,0.006
3596,field_out,3,-42,91.4,0.083
3600,field_out,5,-30,64.8,0.046
4336,field_out,18,-2,67.4,0.109
4204,field_out,2,-47,72.7,0.154
4548,field_out,387,20,115.2,0.88
3665,grounded_into_double_play,10,-13,82.5,0.114
4118,single,7,-19,99.9,0.143
4683,field_out,36,-1,74.4,0.106
3768,single,177,7,110.3,0.749
2991,grounded_into_double_play,6,-19,71.8,0.049
3305,single,67,3,97.1,0.506
3447,field_out,256,49,89.0,0.009
3927,single,212,17,93.9,0.583
77,field_out,144,61,74.1,0.02
301,single,23,-5,102.4,0.294
556,field_out,11,-13,90.2,0.137
658,field_out,280,42,85.2,0.017
4191,field_out,4,-31,90.5,0.089
262,double,335,18,103.4,0.449
753,field_out,290,42,90.7,0.003
827,field_out,132,4,77.9,0.26
972,field_out,13,-10,108.9,0.309
692,force_out,18,-6,69.5,0.083
855,field_out,207,58,90.6,0.006
980,field_out,356,33,95.6,0.134
1031,single,10,-8,74.7,0.08
1096,field_out,14,-9,54.3,0.1
1256,field_out,362,37,99.9,0.269
1205,fielders_choice_out,17,-8,97.8,0.271
1229,double,367,15,111.2,0.714
1537,single,192,13,81.6,0.671
1898,home_run,355,41,100.3,0.117
1934,field_out,4,-24,100.3,0.123
2095,single,194,12,86.4,0.68
2182,field_out,343,22,99.0,0.317
2510,field_out,10,-11,100.4,0.269
2272,field_out,3,-44,53.8,0.16
2608,field_out,273,28,78.9,0.237
4178,field_out,22,-7,90.6,0.18
2637,field_out,333,42,96.7,0.029
3445,field_out,192,17,74.5,0.803
3974,field_out,365,23,97.7,0.337
730,field_out,119,60,56.3,0.011
776,field_out,39,1,61.5,0.143
1115,double,317,18,104.4,0.494
2939,field_out,329,16,104.3,0.54
3821,field_out,9,-9,101.5,0.291
1236,force_out,9,-9,102.1,0.291
1424,field_out,331,39,97.4,0.08
1476,single,221,24,72.7,0.903
1681,field_out,20,-6,98.6,0.26
3151,field_out,157,12,88.7,0.786
3464,field_out,213,57,93.0,0.006
4122,single,263,13,95.2,0.931
1945,field_out,279,37,87.7,0.011
38,field_out,262,42,79.1,0.034
54,double,200,17,87.8,0.871
270,field_out,291,46,95.9,0.006
377,single,213,11,95.5,0.791
2472,force_out,5,-19,101.4,0.174
2985,single,186,10,98.5,0.743
3720,field_out,10,-12,69.9,0.06
557,field_out,289,44,89.3,0.009
660,field_out,176,58,95.4,0.006
757,field_out,359,36,97.0,0.146
4011,field_out,114,5,103.9,0.571
4239,field_out,183,60,86.9,0.017
4573,field_out,217,45,72.9,0.189
886,field_out,307,40,91.8,0.014
1083,field_out,6,-19,69.0,0.046
1336,field_out,379,23,103.5,0.706
1357,double,340,23,99.4,0.4
1577,field_out,67,4,82.5,0.283
1760,field_error,3,-45,86.4,0.074
1553,grounded_into_double_play,7,-12,99.9,0.251
1576,field_out,303,42,91.2,0.003
2345,field_out,6,-17,94.6,0.154
2866,force_out,34,0,84.6,0.246
4363,single,248,16,91.5,0.837
940,sac_fly,321,24,91.6,0.16
999,single,201,21,69.1,0.84
1011,single,7,-14,96.5,0.194
1108,single,218,13,103.9,0.84
1248,double,75,4,97.1,0.549
2218,field_out,262,45,89.7,0.009
3308,field_out,4,-29,74.8,0.054
2364,field_out,273,43,85.7,0.011
2478,single,3,-41,79.9,0.1
4110,field_out,121,5,105.9,0.563
4392,field_out,16,-5,78.5,0.103
3394,field_out,139,8,95.6,0.6
3728,field_error,47,0,92.4,0.323
4076,field_out,273,45,86.9,0.006
2223,single,321,15,99.8,0.683
2443,single,235,35,68.7,0.714
2988,field_out,298,19,97.7,0.34
3520,single,168,11,99.8,0.88
4579,field_out,52,2,76.1,0.143
2903,home_run,356,38,96.3,0.106
4521,field_out,2,-47,77.7,0.134
3359,field_out,22,-2,81.4,0.174
3433,field_out,1,-70,59.6,0.229
4435,field_out,349,30,93.0,0.109
3666,field_out,54,2,80.5,0.22
4471,double,347,27,93.9,0.163
2734,field_out,143,10,88.1,0.571
3598,single,1,-59,48.5,0.209
3319,grounded_into_double_play,6,-20,72.0,0.046
3943,single,224,29,71.0,0.829
4450,field_out,2,-46,82.0,0.12
4306,force_out,5,-29,94.7,0.109
3642,field_out,219,53,84.2,0.02
4703,field_out,289,31,82.2,0.057
4721,grounded_into_double_play,118,14,64.3,0.329
233,field_out,182,58,88.2,0.023
31,field_out,5,-25,78.5,0.043
112,single,2,-50,79.1,0.16
253,home_run,391,22,106.5,0.857
507,field_out,4,-31,93.2,0.094
521,field_out,322,20,91.9,0.303
364,field_out,163,63,95.1,0.011
502,double,35,-2,90.2,0.24
632,field_out,339,27,95.0,0.189
888,field_out,331,24,87.6,0.183
686,field_out,2,-57,52.6,0.229
760,field_out,275,27,80.1,0.231
923,field_out,363,34,99.8,0.377
1147,field_out,7,-22,93.9,0.1
1303,field_out,13,-9,104.2,0.326
976,force_out,3,-35,66.8,0.066
1066,single,263,19,88.6,0.614
1113,single,1,-68,84.6,0.266
1324,home_run,406,29,108.4,0.966
1421,field_out,306,26,83.6,0.154
1427,single,206,15,91.1,0.92
1618,field_out,79,3,107.5,0.543
1453,field_out,179,61,80.6,0.031
1785,single,98,5,97.4,0.537
1919,field_out,176,63,93.6,0.006
1989,single,175,12,93.5,0.874
2691,single,146,7,99.0,0.629
3117,single,30,-3,69.7,0.091
3857,field_error,267,18,89.5,0.706
2036,field_out,7,-15,84.8,0.12
2297,single,35,-2,90.0,0.24
2613,field_out,9,-16,99.5,0.163
2932,single,165,16,67.6,0.506
3414,field_out,144,43,53.2,0.18
4007,home_run,412,24,108.0,0.954
4240,field_error,23,-3,90.9,0.214
2600,field_out,53,2,99.2,0.426
2745,single,1,-66,70.6,0.263
3094,force_out,57,4,80.4,0.246
3682,single,254,21,79.9,0.834
4241,home_run,403,33,104.1,0.671
4517,single,110,4,100.0,0.557
2606,double,364,29,96.7,0.309
2701,fielders_choice,39,-1,99.8,0.386
3073,single,196,13,95.4,0.931
3733,field_out,20,-6,96.5,0.237
2690,grounded_into_double_play,9,-16,88.4,0.1
