,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
2133,grounded_into_double_play,29,-3,93.4,0.26
808,field_out,10,-17,87.3,0.1
628,field_out,365,32,97.5,0.223
693,field_out,3,-28,103.6,0.126
752,triple,260,15,108.0,0.711
815,double,126,7,105.0,0.606
863,field_out,151,66,81.3,0.003
912,force_out,11,-8,113.0,0.369
933,field_out,308,42,86.4,0.014
1007,single,50,1,94.6,0.414
1056,home_run,412,23,107.9,0.926
1215,home_run,431,25,110.6,0.986
1349,single,120,7,98.2,0.626
921,field_out,319,41,92.7,0.006
1256,field_out,312,33,80.8,0.034
1494,double,38,0,78.5,0.16
1460,field_out,211,59,92.9,0.006
1747,field_out,95,74,83.1,0.006
1889,single,190,11,109.6,0.891
2172,field_out,171,7,101.7,0.689
1690,field_out,0,-84,,
2142,field_out,33,-2,97.8,0.34
4190,field_out,1,-70,61.7,0.24
4142,field_out,244,46,80.2,0.026
1963,field_out,254,53,90.9,0.017
2197,force_out,8,-16,66.2,0.034
2385,single,65,2,90.3,0.317
2734,field_error,40,0,76.2,0.1
2841,field_out,300,43,94.7,0.017
3153,field_out,15,-4,71.1,0.086
3991,field_out,8,-14,74.1,0.049
2960,field_out,37,-1,97.3,0.346
3053,field_out,324,35,86.3,0.017
65,home_run,408,27,103.9,0.837
92,single,248,12,101.0,0.917
3330,field_out,30,-2,65.4,0.12
3940,single,207,9,102.7,0.743
43,single,245,30,71.4,0.789
203,field_out,345,23,96.4,0.186
668,field_out,201,48,68.9,0.203
184,field_out,8,-18,75.3,0.049
296,field_out,12,-9,67.4,0.091
826,field_out,252,53,91.7,0.009
897,double,265,17,104.8,0.517
915,field_out,371,29,96.7,0.309
938,field_out,343,14,104.2,0.74
1020,single,78,3,107.6,0.549
1104,single,8,-12,95.3,0.169
1153,field_out,285,38,81.1,0.023
1341,field_out,326,41,99.6,0.117
1503,field_out,10,-8,98.9,0.286
1370,field_out,11,-10,94.9,0.209
1511,field_out,325,24,95.1,0.171
1619,field_out,316,42,90.5,0.006
1778,field_out,94,73,90.3,0.009
1997,field_out,280,21,82.9,0.646
2636,force_out,8,-13,94.3,0.166
3751,double,368,22,101.4,0.483
4247,single,104,5,103.7,0.571
2505,single,232,12,91.7,0.869
3948,single,173,9,99.6,0.703
1841,field_out,261,47,80.8,0.023
1944,double,350,15,106.4,0.611
2028,field_out,6,-19,101.2,0.174
2128,field_out,26,-4,70.6,0.086
2826,field_out,405,38,105.1,0.497
2998,double,423,25,103.0,0.729
3087,field_out,322,24,86.8,0.151
2244,field_out,3,-32,87.9,0.08
